"filename", "language", "PHP", "JavaScript", "Markdown", "JSON", "XML", "SCSS", "PostCSS", "vue", "comment", "blank", "total"
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\helpers\_clearfix.scss", "SCSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\helpers\_colored-links.scss", "SCSS", 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\helpers\_position.scss", "SCSS", 0, 0, 0, 0, 0, 24, 0, 0, 2, 5, 31
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\helpers\_ratio.scss", "SCSS", 0, 0, 0, 0, 0, 21, 0, 0, 1, 5, 27
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\helpers\_stretched-link.scss", "SCSS", 0, 0, 0, 0, 0, 11, 0, 0, 3, 2, 16
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\helpers\_text-truncation.scss", "SCSS", 0, 0, 0, 0, 0, 3, 0, 0, 3, 2, 8
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\helpers\_visually-hidden.scss", "SCSS", 0, 0, 0, 0, 0, 4, 0, 0, 3, 2, 9
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_alert.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 0, 2, 2, 12
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_border-radius.scss", "SCSS", 0, 0, 0, 0, 0, 63, 0, 0, 5, 11, 79
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_box-shadow.scss", "SCSS", 0, 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_breakpoints.scss", "SCSS", 0, 0, 0, 0, 0, 73, 0, 0, 44, 11, 128
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_buttons.scss", "SCSS", 0, 0, 0, 0, 0, 104, 0, 0, 16, 14, 134
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_caret.scss", "SCSS", 0, 0, 0, 0, 0, 55, 0, 0, 2, 8, 65
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_clearfix.scss", "SCSS", 0, 0, 0, 0, 0, 7, 0, 0, 2, 1, 10
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_color-scheme.scss", "SCSS", 0, 0, 0, 0, 0, 5, 0, 0, 2, 1, 8
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_container.scss", "SCSS", 0, 0, 0, 0, 0, 7, 0, 0, 1, 2, 10
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_deprecate.scss", "SCSS", 0, 0, 0, 0, 0, 5, 0, 0, 5, 1, 11
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_forms.scss", "SCSS", 0, 0, 0, 0, 0, 116, 0, 0, 5, 17, 138
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_gradients.scss", "SCSS", 0, 0, 0, 0, 0, 27, 0, 0, 11, 10, 48
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_grid.scss", "SCSS", 0, 0, 0, 0, 0, 88, 0, 0, 21, 17, 126
"c:\Users\HP i5\OneDrive\Desktop\Project\ProjectWeb\public\scss\bootstrap\scss\mixins\_image.scss", "SCSS", 0, 0, 0, 0, 0, 4, 0, 0, 9, 4, 17
